epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,13811.8,0.97247,0.42971,0.97073,0.96368,0.9366,0.97174,0.70733,0.87781,0.5807,0.9044,0.00865013,0.00865013,0.00865013
56,14061.9,0.97055,0.43072,0.96965,0.96472,0.93643,0.97151,0.70645,0.87795,0.57276,0.90409,0.00862514,0.00862514,0.00862514
57,14312.4,0.96909,0.43081,0.96896,0.96568,0.93608,0.97244,0.70771,0.87762,0.56769,0.90325,0.00860014,0.00860014,0.00860014
58,14563.5,0.96638,0.42731,0.96921,0.96493,0.93718,0.97218,0.70722,0.87889,0.57203,0.90563,0.00857514,0.00857514,0.00857514
59,14814.2,0.96911,0.4274,0.97011,0.96471,0.93778,0.97242,0.70863,0.87794,0.57149,0.90596,0.00855015,0.00855015,0.00855015
60,15064.7,0.96716,0.42772,0.96811,0.96434,0.93661,0.97165,0.708,0.87746,0.58134,0.90502,0.00852515,0.00852515,0.00852515
61,15315.4,0.96904,0.4251,0.97095,0.96599,0.93611,0.97233,0.70858,0.87654,0.58901,0.90539,0.00850015,0.00850015,0.00850015
62,15565.6,0.96575,0.42464,0.96948,0.96481,0.93857,0.97268,0.70975,0.87529,0.59378,0.90573,0.00847515,0.00847515,0.00847515
63,15815.7,0.96319,0.42422,0.96619,0.9642,0.93902,0.97284,0.70972,0.87637,0.5935,0.90502,0.00845015,0.00845015,0.00845015
64,16066.4,0.96572,0.42798,0.96799,0.96565,0.93791,0.97264,0.70937,0.87607,0.57468,0.90435,0.00842516,0.00842516,0.00842516
65,16317.5,0.96221,0.42177,0.96809,0.96581,0.9384,0.97308,0.70944,0.87592,0.56934,0.90454,0.00840016,0.00840016,0.00840016
66,16568.9,0.96212,0.41979,0.96783,0.9663,0.9375,0.97298,0.70913,0.8761,0.56381,0.90465,0.00837516,0.00837516,0.00837516
67,16819.7,0.96052,0.42206,0.96707,0.96597,0.9376,0.97253,0.7088,0.87678,0.56427,0.9041,0.00835016,0.00835016,0.00835016
68,17069.6,0.95592,0.41492,0.96833,0.96515,0.93843,0.97201,0.70963,0.87621,0.57531,0.9047,0.00832517,0.00832517,0.00832517
69,17319.6,0.95825,0.41725,0.97048,0.96544,0.93777,0.97197,0.70981,0.87544,0.57669,0.90552,0.00830017,0.00830017,0.00830017
70,17570.1,0.95921,0.42192,0.96614,0.96498,0.93932,0.973,0.71109,0.87458,0.57736,0.90511,0.00827517,0.00827517,0.00827517
71,17821,0.95834,0.4163,0.97035,0.96476,0.93964,0.97297,0.71003,0.87522,0.57268,0.90592,0.00825018,0.00825018,0.00825018
72,18072.2,0.96167,0.42143,0.96839,0.9664,0.93915,0.97322,0.7099,0.87555,0.56172,0.90611,0.00822518,0.00822518,0.00822518
73,18323.1,0.9568,0.41625,0.96759,0.96638,0.93951,0.97325,0.71037,0.87503,0.55846,0.90609,0.00820018,0.00820018,0.00820018
74,18573.5,0.95723,0.41859,0.96557,0.96684,0.93928,0.97358,0.71077,0.87532,0.5559,0.90625,0.00817518,0.00817518,0.00817518
75,18824.4,0.95417,0.41677,0.96813,0.96632,0.93931,0.97353,0.71089,0.87563,0.55771,0.90644,0.00815019,0.00815019,0.00815019
76,19075.8,0.9545,0.41827,0.96812,0.96671,0.9398,0.97381,0.7112,0.87548,0.56002,0.90683,0.00812519,0.00812519,0.00812519
77,19327.1,0.95641,0.41862,0.96802,0.96693,0.93885,0.97376,0.71113,0.87525,0.55579,0.90691,0.00810019,0.00810019,0.00810019
78,19577.6,0.95315,0.41671,0.96509,0.96662,0.93928,0.97374,0.71194,0.87425,0.55528,0.90633,0.00807519,0.00807519,0.00807519
79,19828.4,0.95262,0.41612,0.96674,0.96666,0.93966,0.97377,0.71189,0.87398,0.5517,0.90653,0.00805019,0.00805019,0.00805019
80,20079,0.95089,0.41309,0.96746,0.96683,0.93961,0.97366,0.71174,0.87413,0.55171,0.90687,0.0080252,0.0080252,0.0080252
81,20330.1,0.95076,0.41375,0.96406,0.96717,0.93983,0.97384,0.71145,0.87436,0.55162,0.90674,0.0080002,0.0080002,0.0080002
82,20581.1,0.94774,0.40862,0.96542,0.96682,0.9401,0.9739,0.7121,0.87423,0.55208,0.90684,0.0079752,0.0079752,0.0079752
83,20831.3,0.94773,0.40892,0.96647,0.96636,0.94023,0.97397,0.71246,0.87441,0.54963,0.90706,0.00795021,0.00795021,0.00795021
84,21082.5,0.94719,0.41064,0.96512,0.96699,0.93972,0.97395,0.71247,0.87423,0.54961,0.90695,0.00792521,0.00792521,0.00792521
85,21332.4,0.94368,0.41026,0.96503,0.96714,0.93992,0.97405,0.71242,0.87408,0.54687,0.90697,0.00790021,0.00790021,0.00790021
86,21584.2,0.94406,0.40655,0.96495,0.96647,0.94046,0.97405,0.71265,0.87372,0.55016,0.90677,0.00787521,0.00787521,0.00787521
87,21835.2,0.94588,0.40904,0.96764,0.96645,0.94069,0.9742,0.71291,0.8734,0.55178,0.9068,0.00785022,0.00785022,0.00785022
88,22086,0.94498,0.40717,0.96695,0.96629,0.94024,0.97409,0.71295,0.8735,0.55095,0.90694,0.00782522,0.00782522,0.00782522
89,22336.4,0.94478,0.40888,0.96378,0.96583,0.9402,0.97405,0.71276,0.87355,0.55187,0.90687,0.00780022,0.00780022,0.00780022
90,22586.5,0.94235,0.40643,0.96482,0.96579,0.94045,0.97403,0.71294,0.87349,0.55212,0.9068,0.00777522,0.00777522,0.00777522
91,22836.6,0.94229,0.40727,0.96733,0.96573,0.94038,0.97415,0.71275,0.87341,0.55373,0.90688,0.00775023,0.00775023,0.00775023
92,23087.4,0.94171,0.40791,0.96529,0.96671,0.93978,0.97422,0.71322,0.87307,0.55301,0.90689,0.00772523,0.00772523,0.00772523
93,23337.8,0.93898,0.40342,0.96121,0.96682,0.94049,0.97436,0.71314,0.87318,0.55357,0.90671,0.00770023,0.00770023,0.00770023
94,23589,0.93897,0.40399,0.96241,0.96681,0.94103,0.97445,0.71345,0.87292,0.55411,0.90674,0.00767523,0.00767523,0.00767523
95,23839.4,0.93711,0.40378,0.96314,0.9669,0.94121,0.97445,0.71367,0.87289,0.55578,0.90671,0.00765024,0.00765024,0.00765024
96,24089.9,0.94276,0.40401,0.96854,0.96725,0.94099,0.9744,0.71375,0.87298,0.55688,0.90687,0.00762524,0.00762524,0.00762524
97,24340.6,0.9353,0.40068,0.96318,0.96694,0.94112,0.97449,0.71369,0.87284,0.55651,0.907,0.00760024,0.00760024,0.00760024
98,24591.2,0.93615,0.40376,0.96256,0.96722,0.94074,0.97435,0.71364,0.87292,0.55747,0.90707,0.00757524,0.00757524,0.00757524
99,24841.2,0.93344,0.39926,0.95963,0.96725,0.9408,0.97439,0.71377,0.87298,0.55673,0.90704,0.00755024,0.00755024,0.00755024
100,25091.9,0.9327,0.39929,0.95994,0.9675,0.94069,0.97446,0.71383,0.8732,0.55678,0.90704,0.00752525,0.00752525,0.00752525
101,25344.4,0.93049,0.39913,0.95897,0.968,0.94025,0.97478,0.71391,0.87316,0.55643,0.90696,0.00750025,0.00750025,0.00750025
102,25594.9,0.93301,0.40055,0.95801,0.96802,0.9404,0.97486,0.71412,0.87302,0.55527,0.90688,0.00747525,0.00747525,0.00747525
